,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
281,Ein,Aus,25 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1591363.8340017372,0.0,4097215.551794836,1248.083606557377,370.80847976452077,0.0,,111661.1909982627,0.0
282,Ein,Aus,25 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1591363.8340017372,0.0,4097215.551794836,1248.083606557377,370.80847976452077,0.0,,111661.1909982627,0.0
283,Ein,Aus,500 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1289547.8232084967,26100.264564609188,3852845.1201702673,1248.083606557377,386.42174605216127,0.0,2.9948720792490073,514238.06588080054,74660.59952468824
284,Ein,Aus,500 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1237057.0321576784,18582.76360840486,4037579.5291336314,1248.083606557377,356.9074556184423,0.0,1.8380567920285646,514238.06588080054,29687.309430074092
285,Ein,Aus,500 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1237057.0321576784,6617.080385920751,4051693.1554532424,1248.083606557377,356.9074556184423,0.0,1.0,514238.06588080054,41652.992652558205
286,Ein,Aus,1.000 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1126636.6402754453,221872.89344752228,3714914.7383518997,1248.083606557377,380.59283076847834,0.0,2.9506068109115624,916814.9407633385,118553.66259126132
287,Ein,Aus,1.000 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1075932.3035056135,197852.75965571438,3912182.7928893813,1248.083606557377,350.26878918058975,0.0,1.8428863641002233,916814.9407633385,91869.45961323727
288,Ein,Aus,1.000 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1075932.3035056135,136639.3661360468,3929907.3979073027,1248.083606557377,350.26878918058975,0.0,1.000026833012999,916814.9407633385,153082.85313290491
289,Ein,Aus,1.500 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1046617.0628818945,515630.66892376164,3624231.6638042736,1248.083606557377,374.7639154847954,0.0,2.937026835723975,1319391.8156458766,147353.18460400944
290,Ein,Aus,1.500 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,65,zukunft Normal,997588.3894474092,481617.3110017076,3830158.419330682,1248.083606557377,348.68770998209504,0.0,1.8464652474916692,1319391.8156458766,132337.86909157783
