"Time","Gesamtverbrauch der Hochschule in kW","Netzbezug der Hochschule in kW"
1622375100000,157.5588098,54.61336953333334
1622376000000,161.57753653333336,58.15956893333332
1622376900000,157.41935959999998,53.43575933333333
1622377800000,163.49608153333335,60.72802980000001
1622378700000,160.10492906666664,55.427335733333344
1622379600000,159.00228239999998,52.597696933333346
1622380500000,162.03633713333332,56.01425173333334
1622381400000,155.8358228,51.55536513333334
1622382300000,160.66362413333334,54.46785713333335
1622383200000,158.50709026666664,51.518153266666666
1622384100000,157.07464226666664,52.3638894
1622385000000,160.91330866666664,57.3783766
1622385900000,156.04131766666666,52.0298264
1622386800000,161.21550506666665,56.83575280000001
1622387700000,156.0526188,50.79235813333334
1622388600000,158.27477793333335,53.94977413333333
1622389500000,158.90671386666665,53.48874566666666
1622390400000,155.30834753333332,50.86057473333333
1622391300000,158.99592706666667,53.138137733333345
1622392200000,155.01424966666667,50.18721980000001
1622393100000,154.69940433333335,50.12979986666666
1622394000000,156.33525986666666,51.38682633333333
1622394900000,158.70120026666666,54.61046066666666
1622395800000,155.2798907857143,50.734126928571435
1622396700000,154.44125633333334,50.93582133333334
1622397600000,159.97618606666666,56.128682000000005
1622398500000,154.4361392,49.63274573333334
1622399400000,156.10375306666668,53.11137073333334
1622400300000,160.3141716666667,58.23055173333332
1622401200000,151.00184413333335,48.018815999999994
1622402100000,153.39997426666662,48.814115199999996
1622403000000,148.1741956666667,44.49087659999999
1622403900000,157.69881673333336,54.7479722
1622404800000,150.90358460000002,48.2754712
1622405700000,159.86513173333336,56.62272493333333
1622406600000,157.12941973333332,54.054014466666665
1622407500000,156.23638359999998,53.07367813333334
1622408400000,157.53143446666667,54.21958873333333
1622409300000,157.6643506,54.049491800000006
1622410200000,159.31027873333332,56.42117180000001
1622411100000,158.55394013333336,55.7910274
1622412000000,163.315758,60.914091266666674
1622412900000,155.78457306666667,52.482030866666655
1622413800000,156.03573280000003,51.581332666666654
1622414700000,156.41423166666667,53.55579393333334
1622415600000,154.6575721333333,52.30211706666667
1622416500000,158.45105873333335,56.28532586666667
1622417400000,156.6947344666667,54.48236766666666
1622418300000,155.59287833333332,53.13941813333334
1622419200000,157.45682233333335,52.82341280000001
